LPN,Employee Status,Grade,Rank Name,Service Line,Sub Service Line,Region,Country/Region,Event,Event Reason,Exit Date,Start Date,Most Recent Hire Date,Last Promotion Date,Gender,Date of Birth,Marital Status,No of Dependents,Education,Experience_In_Months_x,Companies_Switched_x,Previous Relevant Work Experience (Y/N)_x,Count_Certifications,Experience_In_Months_y,Companies_Switched_y,Previous Relevant Work Experience (Y/N)_y
1606171,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 5,India,Termination,Separation,2021-04-10 00:00:00.000000,2014-09-04 00:00:00.000000,2014-09-04 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 2,1991-12-15 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1604886,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 3,India,Termination,Separation,2021-07-10 00:00:00.000000,2013-11-18 00:00:00.000000,2013-11-18 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 2,1991-09-26 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
2045777,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 4,India,Termination,Separation,2021-08-14 00:00:00.000000,2013-01-07 00:00:00.000000,2013-01-07 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 1,1991-02-24 00:00:00.000000,Status 1,,,,,,,,,
1604612,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 4,India,Termination,Separation,2021-05-01 00:00:00.000000,2013-11-04 00:00:00.000000,2013-11-04 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 1,1990-02-24 00:00:00.000000,Status 1,,Bachelor's Degree,,,,6.0,,,
1605752,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 4,India,Termination,Separation,2021-03-20 00:00:00.000000,2014-01-06 00:00:00.000000,2014-01-06 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1991-12-24 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1603483,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 3,India,Termination,Separation,2021-06-16 00:00:00.000000,2012-11-05 00:00:00.000000,2012-11-05 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 2,1991-09-29 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1612117,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 1,India,Termination,Separation,2022-02-19 00:00:00.000000,2016-12-05 00:00:00.000000,2016-12-05 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 2,1994-06-21 00:00:00.000000,Status 1,,,,,,,,,
1609384,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 4,India,Termination,Separation,2021-10-25 00:00:00.000000,2015-11-23 00:00:00.000000,2015-11-23 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1993-11-12 00:00:00.000000,Status 1,,,,,,1.0,,,
1602122,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 1,India,Termination,Separation,2022-03-26 00:00:00.000000,2011-06-13 00:00:00.000000,2016-06-18 00:00:00.000000,2016-10-01 01:00:00.000003,Gender 2,1990-07-03 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1604726,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 2,India,Termination,Separation,2021-07-10 00:00:00.000000,2013-11-04 00:00:00.000000,2013-11-04 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 1,1993-01-21 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1603285,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 1,India,Termination,Separation,2021-08-28 00:00:00.000000,2012-07-03 00:00:00.000000,2012-07-03 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 2,1989-09-14 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1601423,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 4,India,Termination,Separation,2021-07-17 00:00:00.000000,2010-10-04 00:00:00.000000,2016-11-14 00:00:00.000000,,Gender 2,1989-01-01 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1605218,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 4,India,Termination,Separation,2021-08-07 00:00:00.000000,2013-12-04 00:00:00.000000,2013-12-04 00:00:00.000000,2019-10-01 01:00:00.000003,Gender 1,1992-01-24 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1620846,Terminated,7,Manager,Service Line 4,Sub Service Line 8,Region 3,India,Termination,Separation,2021-12-11 00:00:00.000000,2021-08-17 00:00:00.000000,2021-08-17 00:00:00.000000,,Gender 2,1987-07-12 00:00:00.000000,Status 1,1.0,Bachelor's Degree,136.0,3,Yes,,136.0,3,Yes
1610743,Terminated,7,Manager,Service Line 4,Sub Service Line 8,Region 2,India,Termination,Separation,2021-11-25 00:00:00.000000,2016-06-16 00:00:00.000000,2019-08-13 00:00:00.000000,2021-10-01 01:00:00.000003,Gender 1,1993-02-10 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1616536,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 3,India,Termination,Separation,2021-07-10 00:00:00.000000,2019-02-18 00:00:00.000000,2019-02-18 00:00:00.000000,2020-10-01 01:00:00.000003,Gender 2,1991-09-14 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
1620433,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 1,India,Termination,Separation,2021-10-30 00:00:00.000000,2021-05-03 00:00:00.000000,2021-05-03 00:00:00.000000,,Gender 1,1981-09-09 00:00:00.000000,Status 1,,,,,,,,,
1603963,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 1,India,Termination,Separation,2021-08-21 00:00:00.000000,2013-01-14 00:00:00.000000,2013-01-14 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 1,1990-06-23 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1620605,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 1,India,Termination,Separation,2021-11-30 00:00:00.000000,2021-06-21 00:00:00.000000,2021-06-21 00:00:00.000000,,Gender 1,1980-05-12 00:00:00.000000,Status 2,,,,,,,,,
1607124,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 4,India,Termination,Separation,2022-03-12 00:00:00.000000,2014-11-24 00:00:00.000000,2014-11-24 00:00:00.000000,2020-10-01 01:00:00.000003,Gender 2,1994-05-22 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
2050823,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 5,India,Termination,Separation,2021-11-02 00:00:00.000000,2016-11-03 00:00:00.000000,2016-11-03 00:00:00.000000,2021-10-01 01:00:00.000003,Gender 2,1995-08-21 00:00:00.000000,Status 1,,,,,,,,,
1617332,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 1,India,Termination,Separation,2022-02-17 00:00:00.000000,2019-09-23 00:00:00.000000,2019-09-23 00:00:00.000000,2021-10-01 01:00:00.000003,Gender 2,1993-02-10 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
1604365,Terminated,7,Manager,Service Line 4,Sub Service Line 9,Region 5,India,Termination,Separation,2021-06-02 00:00:00.000000,2013-07-08 00:00:00.000000,2016-03-16 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 2,1989-06-27 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
5974489,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 2,India,Termination,Separation,2022-01-18 00:00:00.000000,2016-11-03 00:00:00.000000,2016-11-03 00:00:00.000000,2020-10-01 01:00:00.000003,Gender 1,1994-09-09 00:00:00.000000,Status 1,,,,,,,,,
1604614,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 3,India,Termination,Separation,2022-01-22 00:00:00.000000,2013-12-04 00:00:00.000000,2013-12-04 00:00:00.000000,,Gender 1,1993-03-13 00:00:00.000000,Status 2,,Bachelor's Degree,,,,1.0,,,
1609842,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 4,India,Termination,Separation,2021-09-01 00:00:00.000000,2015-12-03 00:00:00.000000,2015-12-03 00:00:00.000000,2020-10-01 01:00:00.000003,Gender 2,1993-01-11 00:00:00.000000,Status 1,,Bachelor's Degree,,,,2.0,,,
1606145,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 5,India,Termination,Separation,2021-04-17 00:00:00.000000,2014-08-18 00:00:00.000000,2016-01-11 00:00:00.000000,2020-10-01 01:00:00.000003,Gender 2,1992-08-27 00:00:00.000000,Status 1,,Bachelor's Degree,16.0,2,No,1.0,16.0,2,No
1614437,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 3,India,Termination,Separation,2022-03-05 00:00:00.000000,2018-06-18 00:00:00.000000,2018-06-18 00:00:00.000000,,Gender 1,1992-01-19 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
1611191,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 4,India,Termination,Separation,2021-10-06 00:00:00.000000,2016-08-30 00:00:00.000000,2016-08-30 00:00:00.000000,2021-10-01 01:00:00.000003,Gender 2,1995-01-23 00:00:00.000000,Status 1,,Master's Degree,,,,1.0,,,
1601029,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 2,India,Termination,Separation,2022-01-01 00:00:00.000000,2009-12-15 00:00:00.000000,2013-08-10 00:00:00.000000,2015-10-01 00:00:00.000000,Gender 1,1988-11-21 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
2045825,Terminated,7,Manager,Service Line 4,Sub Service Line 9,Region 3,India,Termination,Separation,2021-08-21 00:00:00.000000,2013-11-18 00:00:00.000000,2013-11-18 00:00:00.000000,2019-10-01 01:00:00.000003,Gender 2,1992-08-21 00:00:00.000000,Status 1,,,,,,,,,
1612073,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 3,India,Termination,Separation,2022-01-01 00:00:00.000000,2016-12-08 00:00:00.000000,2016-12-08 00:00:00.000000,2021-10-01 01:00:00.000003,Gender 2,1995-01-27 00:00:00.000000,Status 1,,,,,,1.0,,,
1607984,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 4,India,Termination,Separation,2021-10-30 00:00:00.000000,2015-05-18 00:00:00.000000,2015-05-18 00:00:00.000000,2019-10-01 01:00:00.000003,Gender 2,1994-05-12 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
1606667,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 5,India,Termination,Separation,2021-05-15 00:00:00.000000,2014-11-05 00:00:00.000000,2014-11-05 00:00:00.000000,2019-10-01 01:00:00.000003,Gender 2,1994-06-02 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
1609590,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 1,India,Termination,Separation,2021-11-27 00:00:00.000000,2015-11-23 00:00:00.000000,2015-11-23 00:00:00.000000,2021-10-01 01:00:00.000003,Gender 2,1992-11-09 00:00:00.000000,Status 1,,,,,,1.0,,,
1055161,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 5,India,Termination,Separation,2021-06-03 00:00:00.000000,2008-06-02 00:00:00.000000,2022-01-03 00:00:00.000000,2017-10-01 01:00:00.000003,Gender 2,1984-11-12 00:00:00.000000,Status 2,2.0,,,,,1.0,,,
1609573,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 2,India,Termination,Separation,2021-07-17 00:00:00.000000,2015-11-23 00:00:00.000000,2015-11-23 00:00:00.000000,2020-10-01 01:00:00.000003,Gender 1,1991-11-19 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
1605689,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 5,India,Termination,Separation,2022-02-16 00:00:00.000000,2014-01-06 00:00:00.000000,2014-01-06 00:00:00.000000,2018-10-01 00:00:00.000000,Gender 2,1991-10-10 00:00:00.000000,Status 1,1.0,Bachelor's Degree,,,,1.0,,,
320526,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 5,India,Termination,Separation,2021-09-11 00:00:00.000000,2016-10-24 00:00:00.000000,2016-10-24 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1990-09-11 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
320033,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 3,India,Termination,Separation,2021-12-02 00:00:00.000000,2016-07-04 00:00:00.000000,2016-07-04 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1991-05-21 00:00:00.000000,Status 2,,Bachelor's Degree,,,,,,,
321523,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 2,India,Termination,Separation,2021-09-11 00:00:00.000000,2017-06-12 00:00:00.000000,2017-06-12 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 1,1987-08-09 00:00:00.000000,Status 1,,Bachelor's Degree,3.0,1,Yes,,3.0,1,Yes
326147,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 1,India,Termination,Separation,2022-01-29 00:00:00.000000,2020-08-11 00:00:00.000000,2020-08-11 00:00:00.000000,2021-04-19 00:00:00.000000,Gender 1,1974-05-04 00:00:00.000000,Status 2,,Bachelor's Degree,5.0,1,No,,5.0,1,No
317473,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 3,India,Termination,Separation,2021-07-20 00:00:00.000000,2014-07-07 00:00:00.000000,2014-07-07 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 1,1988-11-09 00:00:00.000000,Status 1,,,,,,,,,
324782,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 3,India,Termination,Separation,2021-04-24 00:00:00.000000,2015-11-16 00:00:00.000000,2019-11-04 00:00:00.000000,,Gender 1,1982-06-16 00:00:00.000000,Status 2,5.0,Bachelor's Degree,141.0,2,Yes,,141.0,2,Yes
324952,Terminated,7,Manager,Service Line 4,Sub Service Line 8,Region 3,India,Termination,Separation,2021-08-18 00:00:00.000000,2020-01-06 00:00:00.000000,2020-01-06 00:00:00.000000,,Gender 1,1987-10-20 00:00:00.000000,Status 2,,,6.0,1,No,,6.0,1,No
323434,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 5,India,Termination,Separation,2022-03-26 00:00:00.000000,2018-11-14 00:00:00.000000,2018-11-14 00:00:00.000000,,Gender 2,1986-04-25 00:00:00.000000,Status 1,,Master's Degree,,,,,,,
318606,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 1,India,Termination,Separation,2021-09-21 00:00:00.000000,2011-08-08 00:00:00.000000,2019-08-26 00:00:00.000000,,Gender 2,1989-05-05 00:00:00.000000,Status 1,,Bachelor's Degree,25.0,1,No,,25.0,1,No
324740,Terminated,7,Manager,Service Line 5,Sub Service Line 11,Region 4,India,Termination,Separation,2021-03-06 00:00:00.000000,2019-09-04 00:00:00.000000,2019-09-04 00:00:00.000000,,Gender 1,1968-05-22 00:00:00.000000,Status 2,,Master's Degree,31.0,1,No,,31.0,1,No
317298,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 3,India,Termination,Separation,2021-10-23 00:00:00.000000,2010-04-05 00:00:00.000000,2014-05-26 00:00:00.000000,2017-10-01 00:00:00.000000,Gender 2,1988-10-27 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
323002,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 1,India,Termination,Separation,2022-01-08 00:00:00.000000,2018-09-24 00:00:00.000000,2018-09-24 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1987-11-23 00:00:00.000000,Status 1,,Bachelor's Degree,39.0,1,Yes,,39.0,1,Yes
321651,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 2,India,Termination,Separation,2021-05-01 00:00:00.000000,2017-08-21 00:00:00.000000,2017-08-21 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1991-01-07 00:00:00.000000,Status 1,,Master's Degree,27.0,3,Yes,1.0,27.0,3,Yes
325174,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 3,India,Termination,Separation,2021-08-12 00:00:00.000000,2020-02-03 00:00:00.000000,2020-02-03 00:00:00.000000,,Gender 2,1989-08-20 00:00:00.000000,Status 1,,Bachelor's Degree,26.0,2,Yes,,26.0,2,Yes
318464,Terminated,7,Manager,Service Line 4,Sub Service Line 8,Region 1,India,Termination,Separation,2022-03-18 00:00:00.000000,2015-04-13 00:00:00.000000,2015-04-13 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1989-09-29 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
320230,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 1,India,Termination,Separation,2022-03-19 00:00:00.000000,2015-07-01 00:00:00.000000,2016-08-01 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1993-11-08 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
320025,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 3,India,Termination,Separation,2022-03-05 00:00:00.000000,2016-07-04 00:00:00.000000,2016-07-04 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1990-09-21 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
326721,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 5,India,Termination,Separation,2021-04-06 00:00:00.000000,2021-01-27 00:00:00.000000,2021-01-27 00:00:00.000000,,Gender 2,1984-04-21 00:00:00.000000,Status 2,1.0,Bachelor's Degree,39.0,1,,1.0,39.0,1,
325262,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 3,India,Termination,Separation,2021-07-10 00:00:00.000000,2019-12-09 00:00:00.000000,2019-12-09 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1990-01-08 00:00:00.000000,Status 1,,Bachelor's Degree,45.0,1,No,1.0,45.0,1,No
319588,Terminated,7,Manager,Service Line 2,Sub Service Line 4,Region 1,India,Termination,Separation,2022-01-22 00:00:00.000000,2016-01-11 00:00:00.000000,2016-01-11 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1986-11-25 00:00:00.000000,Status 2,,Bachelor's Degree,,,,,,,
323659,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 4,India,Termination,Separation,2021-08-21 00:00:00.000000,2016-01-18 00:00:00.000000,2019-02-07 00:00:00.000000,,Gender 1,1983-04-28 00:00:00.000000,Status 1,,Master's Degree,82.0,4,Yes,,82.0,4,Yes
323408,Terminated,7,Manager,Service Line 5,Sub Service Line 10,Region 5,India,Termination,Separation,2021-11-27 00:00:00.000000,2018-11-14 00:00:00.000000,2018-11-14 00:00:00.000000,,Gender 1,1983-03-19 00:00:00.000000,Status 1,,Bachelor's Degree,,,,,,,
318820,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 3,India,Termination,Separation,2022-01-08 00:00:00.000000,2015-09-29 00:00:00.000000,2018-10-29 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 2,1993-10-14 00:00:00.000000,Status 1,,Bachelor's Degree,12.0,1,No,2.0,12.0,1,No
323928,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 3,India,Termination,Separation,2021-04-24 00:00:00.000000,2013-03-18 00:00:00.000000,2019-05-13 00:00:00.000000,,Gender 2,1990-07-05 00:00:00.000000,Status 2,,Master's Degree,,,,,,,
322115,Terminated,7,Manager,Service Line 2,Sub Service Line 5,Region 4,India,Termination,Separation,2021-07-27 00:00:00.000000,2018-02-19 00:00:00.000000,2018-02-19 00:00:00.000000,,Gender 2,1989-03-27 00:00:00.000000,Status 1,,Bachelor's Degree,65.0,1,No,1.0,65.0,1,No
326750,Terminated,7,Manager,Service Line 1,Sub Service Line 1,Region 5,India,Termination,Separation,2021-08-17 00:00:00.000000,2021-03-09 00:00:00.000000,2021-03-09 00:00:00.000000,,Gender 1,1990-09-10 00:00:00.000000,Status 1,,Bachelor's Degree,54.0,3,,,54.0,3,
323270,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 2,India,Termination,Separation,2021-08-14 00:00:00.000000,2018-12-17 00:00:00.000000,2018-12-17 00:00:00.000000,,Gender 1,1982-10-07 00:00:00.000000,Status 2,,Bachelor's Degree,15.0,1,No,,15.0,1,No
317414,Terminated,7,Manager,Service Line 3,Sub Service Line 7,Region 3,India,Termination,Separation,2021-11-24 00:00:00.000000,2014-07-07 00:00:00.000000,2014-07-07 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 2,1988-12-03 00:00:00.000000,Status 1,,Master's Degree,,,,1.0,,,
319858,Terminated,7,Manager,Service Line 3,Sub Service Line 6,Region 3,India,Termination,Separation,2022-01-19 00:00:00.000000,2016-04-25 00:00:00.000000,2016-04-25 00:00:00.000000,2019-10-01 00:00:00.000000,Gender 1,1991-05-17 00:00:00.000000,Status 2,,,,,,,,,
2045743,Terminated,7,Manager,Service Line 4,Sub Service Line 9,Region 5,India,Termination,Separation,2021-04-07 00:00:00.000000,2018-11-19 00:00:00.000000,2019-11-11 00:00:00.000000,,Gender 1,1992-03-06 00:00:00.000000,Status 1,,,,,,,,,
326922,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 4,India,Termination,Separation,2021-08-11 00:00:00.000000,2021-03-22 00:00:00.000000,2021-03-22 00:00:00.000000,,Gender 1,1971-02-05 00:00:00.000000,Status 2,,Master's Degree,,8,No,1.0,,8,No
322916,Terminated,7,Manager,Service Line 1,Sub Service Line 2,Region 5,India,Termination,Separation,2021-05-08 00:00:00.000000,2018-08-20 00:00:00.000000,2018-08-20 00:00:00.000000,2020-10-01 00:00:00.000000,Gender 1,1988-08-16 00:00:00.000000,Status 1,,Bachelor's Degree,17.0,1,No,,17.0,1,No
318523,Terminated,7,Manager,Service Line 2,Sub Service Line 3,Region 2,India,Termination,Separation,2022-01-01 00:00:00.000000,2015-05-11 00:00:00.000000,2016-07-01 00:00:00.000000,2021-10-01 00:00:00.000000,Gender 1,1992-03-09 00:00:00.000000,Status 1,,Bachelor's Degree,,,,1.0,,,
